idUsuari,algorisme,idItems
47758,COL,1519;339;28223;889;48;12355;20057;5680;101;199;15037;6;885;2034;28619;37510;36456;12883;31405;37965;16035;32282;2104;14345;2418;10408;32949;22147;14513;877;5682;19;164;1292
47758,CB,32935;20583;245;11771;263;18507;5941;10165;30654;7674;13759;14813;36456;12365;57;18897;14741;24833;1559;35860;16918;10460;8675;2104;18671;33255;22;27787;9863;33731;21327;37965;13655;33486
47758,Hybrid,36456;2104;37965;1519;32935;339;20583;28223;245;889;11771;48;263;12355;18507;20057;5941;5680;10165;101;30654;199;7674;15037;13759;6;14813;885;12365;2034;57;28619;18897;37510
